SMILES,dE
O=[N+]([O-])c1cc(C([O-])=[S+]Cc2c3ccccc3cc3ccccc23)cc([N+](=O)[O-])c1,-0.4958999999999998
C(#CC12C(c3c4ccccc4cc4ccccc34)=C(c3ccccc3)C(c3ccccc31)c1ccccc12)c1ccccc1,-0.5561000000000003
c1ccc(-c2cccc3cc4ccc5ccc6cc7ccc8ccc9cc%10cccc(-c%11ccccc%11)c%10cc9c8c7cc6c5c4cc23)cc1,-0.7544
O=C(c1cccc2ccccc12)N(Cc1ccc(Br)cc1)C(=O)c1c2ccccc2cc2ccccc12,-0.6378000000000004
C(=Nc1[n-]c2ccccc2[s+]1)c1c2ccccc2cc2ccccc12,-0.44899999999999984
C[Si](C)(CC[Si](C)(C)c1c2cccc(Cl)c2cc2c(Cl)cccc12)c1c2cccc(Cl)c2cc2c(Cl)cccc12,-0.46760000000000046
CC(C=Cc1c2ccccc2cc2ccccc12)c1ccc2cccccc1-2,-1.4670999999999998
CC(=O)Oc1c2ccccc2c(C(OC(C)=O)C(OC(C)=O)c2c3ccccc3c(OC(C)=O)c3ccccc23)c2ccccc12,-0.4826999999999999
CC(C)(C)c1ccc2cc3ccc(C(C)(C)C)cc3c(Cl)c2c1,-0.5586999999999995
CC1(OC(=O)c2c3ccccc3cc3ccccc23)CCCCC1,-0.48989999999999956
COc1cc2c(C)c3cc(OC)c(OC)cc3c(C)c2cc1OC,-0.7943999999999996
CC1C(=O)c2c(cc3c4cccc5cccc(c6cccc2c63)c54)C1C(C)(C)C,-0.46530000000000005
c1ccc(P(c2ccccc2)c2c3ccccc3c(P(c3ccccc3)c3ccccc3)c3ccccc23)cc1,-0.5252000000000003
c1ccc2c(c1)Sc1cccc(-c3c4ccccc4cc4ccccc34)c1S2,-0.5281999999999996
CN(C)c1ccc(-c2c3ccccc3cc3ccccc23)cc1,-0.5615999999999999
CCOC(=O)c1c(-c2c3ccccc3c(Cl)c3ccccc23)noc1C,-0.40169999999999995
CCCCc1c2cc3ccccc3cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2cc3ccccc3cc12,0.6160999999999999
Cc1c2ccccc2cc2ccccc12,-0.4642999999999997
O=C1C=Cc2c(-c3c4ccccc4cc4ccccc34)ccc3c2c1cc1ccccc13,-1.0872000000000002
OC(c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,-0.44700000000000006
CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1c2ccccc2cc2ccccc12,-0.4554999999999998
C=C(OC(C)=O)c1cc(OC(C)=O)cc2cc3c(C(=C)OC(C)=O)cc(OC(C)=O)cc3cc12,-0.49599999999999955
c1ccc(C(=C(c2c3ccccc3cc3ccccc23)c2c3ccccc3cc3ccccc23)c2ccccc2)cc1,-0.6119000000000003
C[Si](C)(C)N1BN([Si](C)(C)C)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)N([Si](C)(C)C)BN5[Si](C)(C)C,-0.4567000000000001
CC(=O)Oc1c2ccccc2c(CCc2c3ccccc3c(OC(C)=O)c3ccccc23)c2ccccc12,-0.5337000000000001
COc1ccccc1P(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,-0.5255999999999998
COCc1c2ccccc2c(C)c2c1ccc1ccccc12,-0.8542999999999998
C[Si](C)(C)C#Cc1c2cc3ccccc3cc2c(C#C[Si](C)(C)C)c2cc3ccccc3cc12,0.7122000000000002
c1ccc(COCc2c3ccccc3c(COCc3ccccc3)c3ccccc23)cc1,-0.42660000000000053
c1ccc2cc3cc4c(cc3cc2c1)sc1sc2cc3cc5ccccc5cc3cc2c14,-0.39690000000000003
c1ccc(-c2ccn(Cc3c4ccccc4cc4ccccc34)n2)nc1,-0.4987999999999997
FC(F)(F)C(F)(F)C(F)(F)c1nc2c(Br)cc3c4cc(Br)c5nc(C(F)(F)C(F)(F)C(F)(F)F)nc6c(Br)cc(c7cc(Br)c(n1)c2c37)c4c56,-0.3477000000000001
