SMILES,t1
O=[N+]([O-])c1cc(C([O-])=[S+]Cc2c3ccccc3cc3ccccc23)cc([N+](=O)[O-])c1,2.114
C(#CC12C(c3c4ccccc4cc4ccccc34)=C(c3ccccc3)C(c3ccccc31)c1ccccc12)c1ccccc1,2.1221
c1ccc(-c2cccc3cc4ccc5ccc6cc7ccc8ccc9cc%10cccc(-c%11ccccc%11)c%10cc9c8c7cc6c5c4cc23)cc1,2.0225
O=C(c1cccc2ccccc12)N(Cc1ccc(Br)cc1)C(=O)c1c2ccccc2cc2ccccc12,2.1630000000000003
C(=Nc1[n-]c2ccccc2[s+]1)c1c2ccccc2cc2ccccc12,1.8144
C[Si](C)(CC[Si](C)(C)c1c2cccc(Cl)c2cc2c(Cl)cccc12)c1c2cccc(Cl)c2cc2c(Cl)cccc12,2.0449
CC(C=Cc1c2ccccc2cc2ccccc12)c1ccc2cccccc1-2,1.97
CC(=O)Oc1c2ccccc2c(C(OC(C)=O)C(OC(C)=O)c2c3ccccc3c(OC(C)=O)c3ccccc23)c2ccccc12,2.0509
CC(C)(C)c1ccc2cc3ccc(C(C)(C)C)cc3c(Cl)c2c1,2.2009
CC1(OC(=O)c2c3ccccc3cc3ccccc23)CCCCC1,2.1811
COc1cc2c(C)c3cc(OC)c(OC)cc3c(C)c2cc1OC,2.3501
CC1C(=O)c2c(cc3c4cccc5cccc(c6cccc2c63)c54)C1C(C)(C)C,1.8527
c1ccc(P(c2ccccc2)c2c3ccccc3c(P(c3ccccc3)c3ccccc3)c3ccccc23)cc1,2.0384
c1ccc2c(c1)Sc1cccc(-c3c4ccccc4cc4ccccc34)c1S2,2.1649
CN(C)c1ccc(-c2c3ccccc3cc3ccccc23)cc1,2.1521
CCOC(=O)c1c(-c2c3ccccc3c(Cl)c3ccccc23)noc1C,2.0454
CCCCc1c2cc3ccccc3cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2cc3ccccc3cc12,0.9132
Cc1c2ccccc2cc2ccccc12,2.158
O=C1C=Cc2c(-c3c4ccccc4cc4ccccc34)ccc3c2c1cc1ccccc13,2.1758
OC(c1ccccc1)(c1ccccc1)c1c2ccccc2cc2ccccc12,2.1014
CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1c2ccccc2cc2ccccc12,2.1167
C=C(OC(C)=O)c1cc(OC(C)=O)cc2cc3c(C(=C)OC(C)=O)cc(OC(C)=O)cc3cc12,2.074
c1ccc(C(=C(c2c3ccccc3cc3ccccc23)c2c3ccccc3cc3ccccc23)c2ccccc2)cc1,2.0064
C[Si](C)(C)N1BN([Si](C)(C)C)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)N([Si](C)(C)C)BN5[Si](C)(C)C,1.714
CC(=O)Oc1c2ccccc2c(CCc2c3ccccc3c(OC(C)=O)c3ccccc23)c2ccccc12,2.0886
COc1ccccc1P(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,2.0031
COCc1c2ccccc2c(C)c2c1ccc1ccccc12,2.3653
C[Si](C)(C)C#Cc1c2cc3ccccc3cc2c(C#C[Si](C)(C)C)c2cc3ccccc3cc12,0.8042
c1ccc(COCc2c3ccccc3c(COCc3ccccc3)c3ccccc23)cc1,2.0969
c1ccc2cc3cc4c(cc3cc2c1)sc1sc2cc3cc5ccccc5cc3cc2c14,1.9234
c1ccc(-c2ccn(Cc3c4ccccc4cc4ccccc34)n2)nc1,2.1597
FC(F)(F)C(F)(F)C(F)(F)c1nc2c(Br)cc3c4cc(Br)c5nc(C(F)(F)C(F)(F)C(F)(F)F)nc6c(Br)cc(c7cc(Br)c(n1)c2c37)c4c56,1.7119
COc1ccccc1NC(=O)c1cccc2cc3cccc(C(=O)Nc4ccccc4OC)c3cc12,2.1928
Cc1cc(C)cc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2cc(C)cc(C)c2)C6=O)c1,1.5949
C[Si](C)(C)C(c1cc(C([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)cc(C([Si](C)(C)C)[Si](C)(C)C)c1P1#[P-](c2c3ccccc3cc3ccccc23)=[Se+]1)[Si](C)(C)C,2.0814
O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)NC5=O,1.5973
CC(C)(C)[P-](#[O+])(c1ccccc1)c1c2ccccc2cc2ccccc12,2.1507
CCOc1ccccc1C(=O)C=Cc1c2ccccc2cc2ccccc12,2.101
Cc1ccc2c(c1)c1c3ccccc3nc3c4ccc(C)cc4c4c5ccccc5nc2c4c31,2.3722
CN(C)[P-](#[S+])(Oc1c2ccccc2c(O[P-](#[S+])(N(C)C)N(C)C)c2ccccc12)N(C)C,2.0847
c1ccc2c(c1)-c1cccc3cc4c5ccccc5c5ccccc5c4c-2c13,2.3547
Fc1c(F)c(F)c2cc3c4ccccc4c4ccccc4c3cc2c1F,2.632
CC(C)(C)c1cc2c3ccc4sc5ccccc5c4c3c3cc(C(C)(C)C)cc4c5ccc6sc7ccccc7c6c5c(c1)c2c43,2.8393
CC(=O)c1ccc2cc3cccc(C(C)=O)c3cc2c1,2.1278
COc1ccc(OCc2ccc(-c3c4cc(OC)c(OC)cc4c(-c4ccc(COc5ccc(OC)cc5)cc4)c4cc(OC)c(OC)cc34)cc2)cc1,2.3742
c1ccc(Nc2c3ccccc3c(Nc3ccccc3)c3ccccc23)cc1,1.8595
COC(=O)c1c(C(=O)OC)c2ccc3cccc4c5cccc6ccc1c(c65)c2c34,2.4862
C#Cc1cccc2c(C)c3cccc(C#C)c3cc12,1.9925
N#Cc1c2ccccc2c(-c2ccccc(Br)c2=O)c2ccccc12,1.9746
C(=C1c2ccccc2Cc2ccccc21)c1c2ccccc2cc2ccccc12,2.0918
[O-]C12C3([O-])C1(NC[c-]1[c+]4[cH-][cH+][cH-][cH+][c-]4[cH+][c-]4[cH+][cH-][cH+][cH-][c+]14)C23NCC1COCCOCCOCCOCCOCCO1,2.1562
Cc1ccc(-c2c3ccc(C)cc3c(C#N)c3c(-c4ccc(C)cc4)c4ccc(C)cc4c(C#N)c23)cc1,1.3187
CCc1ccc(-c2c3ccccc3c(OC(C)=O)c3ccccc23)c(OC(C)=O)c1,2.1036
CSc1csc2cc3cc4cc5c(SC)csc5cc4cc3cc12,1.6785
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1Cc1ccc(Cl)cc1)c64)C(=O)N(Cc1ccc(Cl)cc1)C5=O,1.5892
c1ccc(-c2cnc(-c3c4ccccc4c(-c4ncc(-c5ccccc5)cn4)c4ccccc34)nc2)cc1,2.0085
O=C(C=Cc1c(F)cccc1Cl)c1c2ccccc2cc2ccccc12,2.1033
Brc1c2ccccc2c(-c2ccc(-c3cccc4ccccc34)cc2)c2ccccc12,2.0911
N#Cc1c2cc(F)ccc2c(-c2ccc(F)cc2)c2c(C#N)c3cc(F)ccc3c(-c3ccc(F)cc3)c12,1.3005
c1ccc2c(c1)C(=c1c3ccccc3c(=C3c4ccccc4-c4ccccc43)c3cc4ccccc4cc13)c1ccccc1-2,2.5298
C1=CSC(=c2c3ccccc3c(=C3SC=CS3)c3ccccc23)S1,2.4202
c1ccc2c(CNC34CC5CC(CC(C5)C3)C4)c3ccccc3cc2c1,2.1686
N#CC(C#N)=c1c2ccccc2c(=c2c3ccccc3c(=C(C#N)C#N)c3ccccc23)c2ccccc12,2.3667
CCCCCCCCCCCCCCCCOC(=O)c1c2ccccc2cc2ccccc12,2.1817
CCCCCOc1cc2cccc3c4nc(OCCCCC)cc5cccc(c(n1)c23)c54,1.7242
c1ccc2c(c1)CCc1cccc3c4c5c(cccc5c-2c13)CCc1ccccc1-4,1.7916
C(#Cc1cccc2ccccc12)C(C#Cc1cccc2ccccc12)=Cc1c2ccccc2cc2ccccc12,1.9572
c1ccc(-c2c3ccccc3c3c4c(c5ccccc5cc24)-c2ccccc2-3)cc1,1.3103
CCCCCCCCCCCOc1ccc(C=Cc2c3ccccc3c(C=Cc3ccc(OCCCCCCCCCCC)cc3)c3ccccc23)cc1,1.9362
N#CC(NCc1ccccn1)=C(C#N)NCc1c2ccccc2cc2ccccc12,2.1718
CSc1c2ccccc2cc2c(SC)c3ccccc3cc12,1.4703
O=C1c2c3ccccc3c(-c3ccccc3)c3ccc4c(c23)C12c1ccccc1C4c1ccccc12,1.7938
